specie,record_number,process,QDB_process,type,element,ionic_state,initial_state_conf,initial_state,final_state,reaction_formula,x_unit,y_unit,reference_number,author,title_of_record,journal_name,volume_and_issue_No,page_number,date_of_publication
N2,11867,ionization,EIN, V,N2,0,,N2 +0 ( ),N2+,N2 + e --> N2+, eV,cm2,RN 2006V201, Itikawa  Y., Cross Sections for Electron Collisions with Nitrogen Molecules, J. Phys. Chem. Ref. Data,35,229-8510,2006
N2,91867,ionization,EIN, V,N2,0,,N2 +0 ( ),N2+,N2 + e --> N2+, eV,cm2,RN 2006V201, Itikawa  Y., Cross Sections for Electron Collisions with Nitrogen Molecules, J. Phys. Chem. Ref. Data,35,229-8510,2006
N2,10623,excitation,ECX, E,N2,0,,N2 +0 ( ),N2 (a 1Πg),N2 + e --> N2 (a 1Πg), eV,cm2,RN 2001E202, Campbell  L. Brunger  M.J. Nolan  A.M. Kelly  L.J. Wedding  A.B. Harrison  J. Teubner  P.J.O. Cartwright  D.C. McLaughlin  B.,Integral cross sections for electron impact excitation of electronic states of N2, J. Phys. B,34,1185-1199,2001
N2,11862,excitation,ECX, V,N2,0,,N2 +0 ( ),N2(a1Πg),N2 + e --> N2(a1Πg), eV,cm2,RN 2006V201, Itikawa  Y., Cross Sections for Electron Collisions with Nitrogen Molecules, J. Phys. Chem. Ref. Data,35,229-8510,2006
N2,91862,excitation,ECX, V,N2,0,,N2 +0 ( ),N2(a1Πg),N2 + e --> N2(a1Πg), eV,cm2,RN 2006V201, Itikawa  Y., Cross Sections for Electron Collisions with Nitrogen Molecules, J. Phys. Chem. Ref. Data,35,229-8510,2006
N2,10627,excitation,ECX, E,N2,0,,N2 +0 ( ),N2 (a'' 1Σg+),N2 + e --> N2 (a'' 1Σg+), eV,cm2,RN 2001E202, Campbell  L. Brunger  M.J. Nolan  A.M. Kelly  L.J. Wedding  A.B. Harrison  J. Teubner  P.J.O. Cartwright  D.C. McLaughlin  B.,Integral cross sections for electron impact excitation of electronic states of N2, J. Phys. B,34,1185-1199,2001
N2,11866,excitation,ECX, V,N2,0,,N2 +0 ( ),N2(a''1Σg+),N2 + e --> N2(a''1Σg+), eV,cm2,RN 2006V201, Itikawa  Y., Cross Sections for Electron Collisions with Nitrogen Molecules, J. Phys. Chem. Ref. Data,35,229-8510,2006
N2,91866,excitation,ECX, V,N2,0,,N2 +0 ( ),N2(a''1Σg+),N2 + e --> N2(a''1Σg+), eV,cm2,RN 2006V201, Itikawa  Y., Cross Sections for Electron Collisions with Nitrogen Molecules, J. Phys. Chem. Ref. Data,35,229-8510,2006
N2,10622,excitation,ECX, E,N2,0,,N2 +0 ( ),N2 (a' 1Σu-),N2 + e --> N2 (a' 1Σu-), eV,cm2,RN 2001E202, Campbell  L. Brunger  M.J. Nolan  A.M. Kelly  L.J. Wedding  A.B. Harrison  J. Teubner  P.J.O. Cartwright  D.C. McLaughlin  B.,Integral cross sections for electron impact excitation of electronic states of N2, J. Phys. B,34,1185-1199,2001
N2,11861,excitation,ECX, V,N2,0,,N2 +0 ( ),N2(a'1Σu-),N2 + e --> N2(a'1Σu-), eV,cm2,RN 2006V201, Itikawa  Y., Cross Sections for Electron Collisions with Nitrogen Molecules, J. Phys. Chem. Ref. Data,35,229-8510,2006
N2,91861,excitation,ECX, V,N2,0,,N2 +0 ( ),N2(a'1Σu-),N2 + e --> N2(a'1Σu-), eV,cm2,RN 2006V201, Itikawa  Y., Cross Sections for Electron Collisions with Nitrogen Molecules, J. Phys. Chem. Ref. Data,35,229-8510,2006
N2,10618,excitation,ECX, E,N2,0,,N2 +0 ( ),N2 (A 3Σu+),N2 + e --> N2 (A 3Σu+), eV,cm2,RN 2001E202, Campbell  L. Brunger  M.J. Nolan  A.M. Kelly  L.J. Wedding  A.B. Harrison  J. Teubner  P.J.O. Cartwright  D.C. McLaughlin  B.,Integral cross sections for electron impact excitation of electronic states of N2, J. Phys. B,34,1185-1199,2001
N2,11857,excitation,ECX, V,N2,0,,N2 +0 ( ),N2(A3Σu+),N2 + e --> N2(A3Σu+), eV,cm2,RN 2006V201, Itikawa  Y., Cross Sections for Electron Collisions with Nitrogen Molecules, J. Phys. Chem. Ref. Data,35,229-8510,2006
