id,ordinary_formula,charge,mass,energy,hform,lj_epsilon,lj_sigma
807,CaF+,1,59.0764,,,,
808,H2+,1,2.01588,,,,
810,CF4,0,88.00431,,,,
818,O2,0,31.9988,,,,
820,N2,0,28.0134,,,,
821,CO2,0,44.0095,,,,
824,H2,0,2.01588,,,,
825,F2-,-1,37.996806,,,,
826,SF6,0,146.055418,,,,
827,BF3+,1,67.8062,,,,
828,C2+,1,24.0214,,,,
829,C3+,1,36.0321,,,,
830,CF+,1,31.0091,,,,
831,CF2+,1,50.007506,,,,
832,CF4+,1,50.007506,,,,
833,CH4+,1,16.0425,,,,
834,CO+,1,28.0101,,,,
835,CO2+,1,44.0095,,,,
836,H2O+,1,18.01528,,,,
837,HBr+,1,80.91194,,,,
838,HCN+,1,27.0253,,,,
849,Kr+,1,83.798,,,,
850,N2+,1,28.0134,,,,
851,N2O+,1,44.0128,,,,
852,NH3+,1,17.03052,,,,
853,NO2+,1,46.0055,,,,
854,O2+,1,31.9988,,,,
855,O3+,1,47.9982,,,,
856,SO2+,1,64.0638,,,,
857,SiF2+,1,66.08231,,,,
858,SiH4+,1,32.11726,,,,
859,SiO+,1,44.0849,,,,
860,C2H2+2,2,26.0373,,,,
862,H2+2,2,2.01588,,,,
865,SF4-,-1,108.058612,,,,
866,F3,0,56.9952096,,,,
867,SF2-,-1,70.0618,,,,
868,F4,0,75.9936128,,,,
869,SF6+,1,146.055418,,,,
874,O+2,2,15.9994,,,,
878,OH+,1,17.00734,,,,
881,C+2,2,12.0107,,,,
882,N+2,2,14.0067,,,,
884,SF6-,-1,146.055418,,,,
885,CH4,0,16.0425,,,,
887,CF3,0,69.005909,,,,
888,C3F8,0,188.0193,,,,
889,CF4-,-1,88.00431,,,,
890,C3F8,1,188.0193,,,,
891,CF3+2,2,69.00591,,,,
892,CF2+2,2,50.00751,,,,
893,CHF3,0,70.01385,,,,
894,C2F6,1,138.0118,,,,
969,H3,0,3.02382,,,,
970,H4,0,4.03176,,,,
986,He2+,1,8.004,,,,2.0
987,CO+2,2,28.0101,,,,
989,CH4-,-1,,,,,
995,SiCl,0,63.5385,,,,
997,NF+,1,,,,,
1001,NF2+,1,,,,,
1002,NF2-,-1,,,,,
1003,NF3+,1,,,,,
1004,NF3-,-1,,,,,
1010,FNO,0,49.004503,,,,
1043,SiCl4+,1,169.8975,,,,
1044,SiCl3+,1,134.4445,,,,
1050,BCl+,1,46.264,,,,
1168,SiF,0,47.083903,,,,
1820,H13O6+,1,109.09962,,,,
1821,HNO2,0,47.01344,,,,
1822,HNO3,0,63.01284,,,,
1823,H9O4+,1,73.06906,,,,
1824,H4NO3+,1,66.03666,,,,
1825,H5O2+,1,37.0385,,,,
1826,H15O7+,1,127.1149,,,,
1827,H2O3+,1,50.01408,,,,
1828,HNO4,0,79.01224,,,,
1829,H6NO4+,1,84.05194,,,,
1830,H11O5+,1,91.08434,,,,
1831,H7O3+,1,55.05378,,,,
1832,H4O2+,1,36.03056,,,,
1833,H2NO2+,1,48.02138,,,,
1983,SiF2,0,66.082306,,,,
1984,H2F+,1,21.014283,,,,
1985,C4F6,0,162.0,,,,
1986,C2F2+,1,52.0,,,,
1987,C2F+,1,43.0,,,,
1988,C3F2+,1,74.0,,,,
1989,C3F3+,1,93.0,,,,
1990,C3F4+,1,112.0,,,,
1991,C3F+,1,55.0,,,,
1992,C4F4+,1,124.0,,,,
1993,C4F5+,1,143.0,,,,
1994,C4F6+,1,162.0,,,,
1997,C3F4,0,112.0,,,,
1998,C2F2,0,62.0,,,,
2019,CH2F+,1,33.0,,,,
2020,CH3F+,1,34.0,,,,
2021,HF+,1,20.0,,,,
2022,CH2F2+,1,,,,,
2023,BeH2,0,11.028062,,,,
2024,BeH,0,10.020122,,,,
